id;sequence
027649;1,4,14,46,146,454,1394,4246,12866,38854,117074,352246,1058786,3180454,9549554,28665046,86027906,258149254,774578834,2323998646,6972520226,20918609254,62757924914,188277969046
055601;1,1,9,343,50625,28629151,62523502209,532875860165503,17878103347812890625,2375680873491867011912191,1255325460068093790930770843649,2644211984585174742731315532085090303,22235498641774645581443610453175918212890625
212291;1,1,1,5,17,89,529,3709,29665,266993,2669921,29369141,352429681,4581585865,64142202097,962133031469,15394128503489,261700184559329,4710603322067905,89501463119290213,1790029262385804241,37590614510101889081,826993519222241559761
053764;1,1,9,729,531441,3486784401,205891132094649,109418989131512359209,523347633027360537213511521,22528399544939174411840147874772641,8727963568087712425891397479476727340041449,30432527221704537086371993251530170531786747066637049,955004950796825236893190701774414011919935138974343129836853841,269721605590607563262106870407286853611938890184108047911269431464974473521
033540;1,2,6,21,88,445,2676,18739,149920,1349289,13492900,148421911,1781062944,23153818285,324153456004,4862301840075,77796829441216,1322546100500689,23805829809012420,452310766371235999,9046215327424720000,189970521875919120021
173403;1,1,13,469,63577,33231721,68519123173,562469619451069,18442242396353040817,2417685638793025070212561,1267626422541873052658376446653,2658442047546208031914776455678477989,22300713297142388711251601783864453690641417
086193;1,0,1,18,1699,592260,754179301,3562635108438,63770601591579079,4405870283636411477640,1190873924687350003735546441,1270602397076493907445608866890778,5381240610642043789096251476993474339179
191341;3,11,51,227,963,3971,16131,65027,261123,1046531,4190211,16769027,67092483,268402691,1073676291,4294836227,17179607043,68718952451,274876858371,1099509530627,4398042316803,17592177655811,70368727400451,281474943156227,1125899839733763
251657;1,5,49,1331,130321,52521875,90458382169,662062621900811,20248745068443234721,2548385124666493326171875,1305282261160894865367626964649,2701607566979638625212777041914285051,22497539334127167666989016452232087989410801,751859086636251929847496735809485838154930419921875
000248;1,1,3,10,41,196,1057,6322,41393,293608,2237921,18210094,157329097,1436630092,13810863809,139305550066,1469959371233,16184586405328,185504221191745,2208841954063318,27272621155678841,348586218389733556,4605223387997411873
020518;1,11,205,3641,61681,1016801,16519105,266354561,4278255361,68585520641,1098438933505,17583600302081,281406274007041,4503049938657281,72053196259835905,1152886321308467201,18446462603027742721,295145653396718878721,4722348468539854946305
060758;1,5,625,1953125,152587890625,298023223876953125,14551915228366851806640625,17763568394002504646778106689453125,542101086242752217003726400434970855712890625,413590306276513837435704346034981426782906055450439453125,7888609052210118054117285652827862296732064351090230047702789306640625
047053;1,4,32,384,6144,122880,2949120,82575360,2642411520,95126814720,3805072588800,167423193907200,8036313307545600,417888291992371200,23401744351572787200,1404104661094367232000,89862698310039502848000
089205;0,4,54,768,12500,233280,4941258,117440512,3099363912,90000000000,2853116706110,98077104930816,3634501279107036,144456088732254208,6130514465332031250,276701161105643274240,13235844190181388226832
212850;1,19,163,1135,7291,45199,275563,1666495,10038331,60348079,362442763,2175719455,13057505371,78354598159,470156286763,2821023814015,16926401164411,101559181827439,609357415487563,3656151466494175
011557;1,10,100,1000,10000,100000,1000000,10000000,100000000,1000000000,10000000000,100000000000,1000000000000,10000000000000,100000000000000,1000000000000000,10000000000000000,100000000000000000,1000000000000000000
006898;1,3,13,95,1337,38619,2310533,283841911,70927591153,35812691480115,36383765777442685,74185239630793429775,303119284294591169426729,2479814853198140771706795531,40599509058360322571947638063605
155602;1,6,24,90,336,1266,4824,18570,72096,281826,1107624,4371450,17308656,68703186,273218424,1088090730,4338014016,17309009346,69106897224,276040168410,1102998412176,4408506864306,17623567104024,70462887356490
