algorithm,sequence,domain.size,count,compilation.time,inference.time
greedy,a60757,2,256,1020,2
greedy,a60757,3,262144,1020,3
greedy,a60757,4,4294967296,1020,2
greedy,a60757,5,1125899906842624,1020,3
greedy,a60757,6,4722366482869645213696,1020,3
greedy,a60757,7,316912650057057350374175801344,1020,3
greedy,a60757,8,340282366920938463463374607431768211456,1020,3
greedy,a60757,9,5846006549323611672814739330865132078623730171904,1020,9
greedy,a60757,10,1606938044258990275541962092341162602522202993782792835301376,1020,7
greedy,a324306,1,2,1131,5
greedy,a324306,2,14,1131,3
greedy,a324306,3,464,1131,3
greedy,a324306,4,62498,1131,3
greedy,a324306,5,32904512,1131,3
greedy,a324306,6,68218246274,1131,3
greedy,a324306,7,561509337384704,1131,3
greedy,a324306,8,18430991691638470658,1131,4
greedy,a324306,9,2417187707139291150820352,1131,3
greedy,a324306,10,1267541805135644381508133312514,1131,3
greedy,a202990,1,4,980,6
greedy,a202990,2,100,980,2
greedy,a202990,3,10648,980,2
greedy,a202990,4,4477456,980,2
greedy,a202990,5,7339040224,980,2
greedy,a202990,6,47045881000000,980,2
greedy,a202990,7,1186980379913527168,980,2
greedy,a202990,8,118530511097526559703296,980,2
greedy,a202990,9,47035767668340696232372862464,980,3
greedy,a202990,10,74367598058372171073462490000000000,980,3
bfs,a202989,1,4,1174,4
bfs,a202989,2,100,1174,3
bfs,a202989,3,21952,1174,3
bfs,a202989,4,45212176,1174,2
bfs,a202989,5,864866612224,1174,2
bfs,a202989,6,151334226289000000,1174,2
bfs,a202989,7,240066313618039143841792,1174,2
bfs,a202989,8,3437872835498096514323500400896,1174,2
bfs,a202989,9,443629285048033016198674962874808664064,1174,9
bfs,a202989,10,515464807019389919369209932597753906250000000000,1174,10
greedy,a81626,1,8,1065,5
greedy,a81626,2,56,1065,2
greedy,a81626,3,368,1065,2
greedy,a81626,4,2336,1065,2
greedy,a81626,5,14528,1065,3
greedy,a81626,6,89216,1065,2
greedy,a81626,7,543488,1065,2
greedy,a81626,8,3293696,1065,3
greedy,a81626,9,19893248,1065,3
greedy,a81626,10,119883776,1065,3
greedy,a251183,1,2,1180,5
greedy,a251183,2,20,1180,3
greedy,a251183,3,662,1180,3
greedy,a251183,4,80744,1180,6
greedy,a251183,5,38724842,1180,14
greedy,a251183,6,75185316860,1180,11
greedy,a251183,7,593940189201662,1180,3
greedy,a251183,8,19026394370724334544,1180,3
greedy,a251183,9,2460515237682283759296722,1180,3
greedy,a251183,10,1280059938187721964276628432100,1180,3
bfs,a60867,1,1,1380,5
bfs,a60867,2,9,1380,3
bfs,a60867,3,49,1380,3
bfs,a60867,4,225,1380,3
bfs,a60867,5,961,1380,3
bfs,a60867,6,3969,1380,3
bfs,a60867,7,16129,1380,4
bfs,a60867,8,65025,1380,3
bfs,a60867,9,261121,1380,3
bfs,a60867,10,1046529,1380,3
greedy,a155597,1,5,1336,4
greedy,a155597,2,33,1336,7
greedy,a155597,3,209,1336,5
greedy,a155597,4,1281,1336,4
greedy,a155597,5,7745,1336,4
greedy,a155597,6,46593,1336,4
greedy,a155597,7,279809,1336,4
greedy,a155597,8,1679361,1336,4
greedy,a155597,9,10077185,1336,3
greedy,a155597,10,60465153,1336,3
greedy,a155588,1,6,1249,4
greedy,a155588,2,28,1249,3
greedy,a155588,3,132,1249,2
greedy,a155588,4,640,1249,2
greedy,a155588,5,3156,1249,3
greedy,a155588,6,15688,1249,3
greedy,a155588,7,78252,1249,2
greedy,a155588,8,390880,1249,2
greedy,a155588,9,1953636,1249,2
greedy,a155588,10,9766648,1249,4
bfs,a60758,1,5,999,4
bfs,a60758,2,625,999,3
bfs,a60758,3,1953125,999,3
bfs,a60758,4,152587890625,999,3
bfs,a60758,5,298023223876953125,999,2
bfs,a60758,6,14551915228366851806640625,999,3
bfs,a60758,7,17763568394002504646778106689453125,999,2
bfs,a60758,8,542101086242752217003726400434970855712890625,999,3
bfs,a60758,9,413590306276513837435704346034981426782906055450439453125,999,3
bfs,a60758,10,7888609052210118054117285652827862296732064351090230047702789306640625,999,4
greedy,a267816,1,3,946,4
greedy,a267816,2,23,946,2
greedy,a267816,3,111,946,2
greedy,a267816,4,479,946,2
greedy,a267816,5,1983,946,2
greedy,a267816,6,8063,946,2
greedy,a267816,7,32511,946,3
greedy,a267816,8,130559,946,2
greedy,a267816,9,523263,946,2
greedy,a267816,10,2095103,946,2
greedy,a134485,1,2,1019,5
greedy,a134485,2,13,1019,3
greedy,a134485,3,305,1019,2
greedy,a134485,4,26881,1019,3
greedy,a134485,5,9078017,1019,3
greedy,a134485,6,11882207233,1019,2
greedy,a134485,7,60716967030785,1019,2
greedy,a134485,8,1217207202583019521,1019,3
greedy,a134485,9,96068905115897742032897,1019,3
greedy,a134485,10,29929069804525281689001787393,1019,3
greedy,a58877,1,0,1016,3
greedy,a58877,2,2,1016,3
greedy,a58877,3,9,1016,3
greedy,a58877,4,28,1016,3
greedy,a58877,5,75,1016,2
greedy,a58877,6,186,1016,2
greedy,a58877,7,441,1016,2
greedy,a58877,8,1016,1016,3
greedy,a58877,9,2295,1016,3
greedy,a58877,10,5110,1016,2
greedy,a85352,1,7,1195,5
greedy,a85352,2,47,1195,4
greedy,a85352,3,307,1195,3
greedy,a85352,4,1967,1195,3
greedy,a85352,5,12427,1195,3
greedy,a85352,6,77687,1195,3
greedy,a85352,7,481747,1195,3
greedy,a85352,8,2968607,1195,3
greedy,a85352,9,18202267,1195,3
greedy,a85352,10,111166727,1195,3
greedy,a173403,1,1,1151,5
greedy,a173403,2,13,1151,2
greedy,a173403,3,469,1151,3
greedy,a173403,4,63577,1151,2
greedy,a173403,5,33231721,1151,2
greedy,a173403,6,68519123173,1151,2
greedy,a173403,7,562469619451069,1151,2
greedy,a173403,8,18442242396353040817,1151,2
greedy,a173403,9,2417685638793025070212561,1151,2
greedy,a173403,10,1267626422541873052658376446653,1151,2
bfs,a241098,1,3,1154,5
bfs,a241098,2,225,1154,3
bfs,a241098,3,250047,1154,3
bfs,a241098,4,4228250625,1154,2
bfs,a241098,5,1120413075641343,1154,2
bfs,a241098,6,4715453174592516890625,1154,3
bfs,a241098,7,316777275155162685106909462527,1154,3
bfs,a241098,8,340240830764391036687105719527812890625,1154,3
bfs,a241098,9,5845805845679338940092384222659294205213252255743,1154,3
bfs,a241098,10,1606922719369349023077959288770050490334792256259918212890625,1154,3
bfs,a83320,1,6,1304,5
bfs,a83320,2,32,1304,3
bfs,a83320,3,162,1304,3
bfs,a83320,4,800,1304,3
bfs,a83320,5,3906,1304,3
bfs,a83320,6,18992,1304,3
bfs,a83320,7,92322,1304,3
bfs,a83320,8,449600,1304,3
bfs,a83320,9,2195586,1304,3
bfs,a83320,10,10755152,1304,3
bfs,a2416,1,2,994,4
bfs,a2416,2,16,994,3
bfs,a2416,3,512,994,3
bfs,a2416,4,65536,994,3
bfs,a2416,5,33554432,994,2
bfs,a2416,6,68719476736,994,3
bfs,a2416,7,562949953421312,994,3
bfs,a2416,8,18446744073709551616,994,2
bfs,a2416,9,2417851639229258349412352,994,3
bfs,a2416,10,1267650600228229401496703205376,994,3
bfs,a155588,1,6,1416,5
bfs,a155588,2,28,1416,3
bfs,a155588,3,132,1416,3
bfs,a155588,4,640,1416,3
bfs,a155588,5,3156,1416,2
bfs,a155588,6,15688,1416,4
bfs,a155588,7,78252,1416,3
bfs,a155588,8,390880,1416,3
bfs,a155588,9,1953636,1416,2
bfs,a155588,10,9766648,1416,4
greedy,a20518,1,11,1163,4
greedy,a20518,2,205,1163,2
greedy,a20518,3,3641,1163,2
greedy,a20518,4,61681,1163,2
greedy,a20518,5,1016801,1163,2
greedy,a20518,6,16519105,1163,3
greedy,a20518,7,266354561,1163,2
greedy,a20518,8,4278255361,1163,2
greedy,a20518,9,68585520641,1163,3
greedy,a20518,10,1098438933505,1163,3
bfs,a136516,1,3,1204,5
bfs,a136516,2,25,1204,3
bfs,a136516,3,729,1204,2
bfs,a136516,4,83521,1204,3
bfs,a136516,5,39135393,1204,3
bfs,a136516,6,75418890625,1204,2
bfs,a136516,7,594467302491009,1204,2
bfs,a136516,8,19031147999601100801,1204,3
bfs,a136516,9,2460686496619787545743873,1204,4
bfs,a136516,10,1280084544196357822418212890625,1204,3
greedy,a251657,1,5,1019,6
greedy,a251657,2,49,1019,3
greedy,a251657,3,1331,1019,3
greedy,a251657,4,130321,1019,3
greedy,a251657,5,52521875,1019,2
greedy,a251657,6,90458382169,1019,3
greedy,a251657,7,662062621900811,1019,2
greedy,a251657,8,20248745068443234721,1019,2
greedy,a251657,9,2548385124666493326171875,1019,2
greedy,a251657,10,1305282261160894865367626964649,1019,2
bfs,a171270,1,3,1687,5
bfs,a171270,2,11,1687,3
bfs,a171270,3,33,1687,2
bfs,a171270,4,95,1687,2
bfs,a171270,5,273,1687,3
bfs,a171270,6,791,1687,2
bfs,a171270,7,2313,1687,3
bfs,a171270,8,6815,1687,2
bfs,a171270,9,20193,1687,2
bfs,a171270,10,60071,1687,2
greedy,a101052,1,1,1281,5
greedy,a101052,2,3,1281,4
greedy,a101052,3,13,1281,3
greedy,a101052,4,51,1281,3
greedy,a101052,5,181,1281,3
greedy,a101052,6,603,1281,3
greedy,a101052,7,1933,1281,3
greedy,a101052,8,6051,1281,3
greedy,a101052,9,18661,1281,4
greedy,a101052,10,57003,1281,4
greedy,a33484,1,4,1300,4
greedy,a33484,2,10,1300,2
greedy,a33484,3,22,1300,2
greedy,a33484,4,46,1300,2
greedy,a33484,5,94,1300,2
greedy,a33484,6,190,1300,2
greedy,a33484,7,382,1300,3
greedy,a33484,8,766,1300,3
greedy,a33484,9,1534,1300,4
greedy,a33484,10,3070,1300,3
greedy,a202991,1,1,1032,4
greedy,a202991,2,49,1032,2
greedy,a202991,3,15625,1032,2
greedy,a202991,4,38950081,1032,2
greedy,a202991,5,812990017201,1032,3
greedy,a202991,6,147640825624179889,1032,3
greedy,a202991,7,237771659632917369765625,1032,2
greedy,a202991,8,3425319186561140076700951192321,1032,2
greedy,a202991,9,443021141828981570872668681812345111521,1032,3
greedy,a202991,10,515202988063835984513918825523304657054713360049,1032,2
greedy,a230879,1,2,1456,5
greedy,a230879,2,56,1456,3
greedy,a230879,3,16064,1456,3
greedy,a230879,4,39156608,1456,3
greedy,a230879,5,813732073472,1456,3
greedy,a230879,6,147662286695991296,1456,3
greedy,a230879,7,237776857718965784182784,1456,3
greedy,a230879,8,3425329990022686416530808209408,1456,3
greedy,a230879,9,443021337239562368918979788606843912192,1456,4
greedy,a230879,10,515203019085226443540506018909263027730003787776,1456,5
greedy,a171270,1,3,1085,4
greedy,a171270,2,11,1085,3
greedy,a171270,3,33,1085,3
greedy,a171270,4,95,1085,2
greedy,a171270,5,273,1085,2
greedy,a171270,6,791,1085,2
greedy,a171270,7,2313,1085,3
greedy,a171270,8,6815,1085,2
greedy,a171270,9,20193,1085,3
greedy,a171270,10,60071,1085,3
bfs,a33484,1,4,1356,5
bfs,a33484,2,10,1356,3
bfs,a33484,3,22,1356,3
bfs,a33484,4,46,1356,2
bfs,a33484,5,94,1356,3
bfs,a33484,6,190,1356,2
bfs,a33484,7,382,1356,3
bfs,a33484,8,766,1356,3
bfs,a33484,9,1534,1356,3
bfs,a33484,10,3070,1356,2
greedy,a155599,1,7,1239,4
greedy,a155599,2,61,1239,2
greedy,a155599,3,505,1239,3
greedy,a155599,4,4081,1239,4
greedy,a155599,5,32737,1239,3
greedy,a155599,6,262081,1239,3
greedy,a155599,7,2097025,1239,3
greedy,a155599,8,16776961,1239,4
greedy,a155599,9,134217217,1239,3
greedy,a155599,10,1073740801,1239,2
bfs,a20518,1,11,1297,5
bfs,a20518,2,205,1297,2
bfs,a20518,3,3641,1297,2
bfs,a20518,4,61681,1297,2
bfs,a20518,5,1016801,1297,3
bfs,a20518,6,16519105,1297,3
bfs,a20518,7,266354561,1297,10
bfs,a20518,8,4278255361,1297,12
bfs,a20518,9,68585520641,1297,6
bfs,a20518,10,1098438933505,1297,3
bfs,a5056,1,4,989,4
bfs,a5056,2,12,989,2
bfs,a5056,3,34,989,2
bfs,a5056,4,96,989,2
bfs,a5056,5,274,989,2
bfs,a5056,6,792,989,2
bfs,a5056,7,2314,989,2
bfs,a5056,8,6816,989,2
bfs,a5056,9,20194,989,2
bfs,a5056,10,60072,989,2
greedy,a2416,1,2,1004,4
greedy,a2416,2,16,1004,3
greedy,a2416,3,512,1004,3
greedy,a2416,4,65536,1004,4
greedy,a2416,5,33554432,1004,3
greedy,a2416,6,68719476736,1004,3
greedy,a2416,7,562949953421312,1004,3
greedy,a2416,8,18446744073709551616,1004,3
greedy,a2416,9,2417851639229258349412352,1004,3
greedy,a2416,10,1267650600228229401496703205376,1004,3
greedy,a170940,1,0,973,4
greedy,a170940,2,10,973,3
greedy,a170940,3,54,973,2
greedy,a170940,4,238,973,3
greedy,a170940,5,990,973,3
greedy,a170940,6,4030,973,2
greedy,a170940,7,16254,973,2
greedy,a170940,8,65278,973,3
greedy,a170940,9,261630,973,3
greedy,a170940,10,1047550,973,3
greedy,a133460,1,6,1150,5
greedy,a133460,2,144,1150,4
greedy,a133460,3,13824,1150,3
greedy,a133460,4,5308416,1150,3
greedy,a133460,5,8153726976,1150,3
greedy,a133460,6,50096498540544,1150,3
greedy,a133460,7,1231171548132409344,1150,4
greedy,a133460,8,121029087867608368152576,1150,4
greedy,a133460,9,47590573814949492091483324416,1150,3
greedy,a133460,10,74853500292876717928978827574247424,1150,3
bfs,a68156,1,3,1810,5
bfs,a68156,2,9,1810,3
bfs,a68156,3,21,1810,3
bfs,a68156,4,45,1810,3
bfs,a68156,5,93,1810,3
bfs,a68156,6,189,1810,3
bfs,a68156,7,381,1810,3
bfs,a68156,8,765,1810,3
bfs,a68156,9,1533,1810,3
bfs,a68156,10,3069,1810,3
bfs,a58877,1,0,1174,5
bfs,a58877,2,2,1174,3
bfs,a58877,3,9,1174,3
bfs,a58877,4,28,1174,2
bfs,a58877,5,75,1174,2
bfs,a58877,6,186,1174,2
bfs,a58877,7,441,1174,2
bfs,a58877,8,1016,1174,2
bfs,a58877,9,2295,1174,2
bfs,a58877,10,5110,1174,3
greedy,a48291,1,1,1001,4
greedy,a48291,2,7,1001,3
greedy,a48291,3,265,1001,2
greedy,a48291,4,41503,1001,2
greedy,a48291,5,24997921,1001,3
greedy,a48291,6,57366997447,1001,3
greedy,a48291,7,505874809287625,1001,3
greedy,a48291,8,17343602252913832063,1001,3
greedy,a48291,9,2334958727565749108488321,1001,2
greedy,a48291,10,1243237913592275536716800402887,1001,2
bfs,a92440,1,5,1283,4
bfs,a92440,2,25,1283,2
bfs,a92440,3,113,1283,2
bfs,a92440,4,481,1283,2
bfs,a92440,5,1985,1283,2
bfs,a92440,6,8065,1283,2
bfs,a92440,7,32513,1283,6
bfs,a92440,8,130561,1283,3
bfs,a92440,9,523265,1283,3
bfs,a92440,10,2095105,1283,3
bfs,a58481,1,1,1130,5
bfs,a58481,2,7,1130,4
bfs,a58481,3,25,1130,3
bfs,a58481,4,79,1130,2
bfs,a58481,5,241,1130,2
bfs,a58481,6,727,1130,2
bfs,a58481,7,2185,1130,3
bfs,a58481,8,6559,1130,2
bfs,a58481,9,19681,1130,3
bfs,a58481,10,59047,1130,2
bfs,a251657,1,5,1185,4
bfs,a251657,2,49,1185,4
bfs,a251657,3,1331,1185,3
bfs,a251657,4,130321,1185,3
bfs,a251657,5,52521875,1185,3
bfs,a251657,6,90458382169,1185,3
bfs,a251657,7,662062621900811,1185,3
bfs,a251657,8,20248745068443234721,1185,3
bfs,a251657,9,2548385124666493326171875,1185,3
bfs,a251657,10,1305282261160894865367626964649,1185,3
greedy,a60758,1,5,1117,4
greedy,a60758,2,625,1117,3
greedy,a60758,3,1953125,1117,2
greedy,a60758,4,152587890625,1117,2
greedy,a60758,5,298023223876953125,1117,3
greedy,a60758,6,14551915228366851806640625,1117,3
greedy,a60758,7,17763568394002504646778106689453125,1117,3
greedy,a60758,8,542101086242752217003726400434970855712890625,1117,3
greedy,a60758,9,413590306276513837435704346034981426782906055450439453125,1117,3
greedy,a60758,10,7888609052210118054117285652827862296732064351090230047702789306640625,1117,3
greedy,a86206,1,0,1176,4
greedy,a86206,2,1,1176,3
greedy,a86206,3,27,1176,2
greedy,a86206,4,2401,1176,2
greedy,a86206,5,759375,1176,2
greedy,a86206,6,887503681,1176,2
greedy,a86206,7,3938980639167,1176,2
greedy,a86206,8,67675234241018881,1176,2
greedy,a86206,9,4558916353692287109375,1176,2
greedy,a86206,10,1213972926354344043087129601,1176,2
greedy,a241098,1,3,1118,5
greedy,a241098,2,225,1118,3
greedy,a241098,3,250047,1118,2
greedy,a241098,4,4228250625,1118,2
greedy,a241098,5,1120413075641343,1118,2
greedy,a241098,6,4715453174592516890625,1118,3
greedy,a241098,7,316777275155162685106909462527,1118,3
greedy,a241098,8,340240830764391036687105719527812890625,1118,3
greedy,a241098,9,5845805845679338940092384222659294205213252255743,1118,4
greedy,a241098,10,1606922719369349023077959288770050490334792256259918212890625,1118,4
greedy,a62971,1,1,1167,5
greedy,a62971,2,16,1167,3
greedy,a62971,3,216,1167,3
greedy,a62971,4,4096,1167,7
greedy,a62971,5,100000,1167,7
greedy,a62971,6,2985984,1167,2
greedy,a62971,7,105413504,1167,2
greedy,a62971,8,4294967296,1167,2
greedy,a62971,9,198359290368,1167,2
greedy,a62971,10,10240000000000,1167,2
greedy,a351,1,5,1063,7
greedy,a351,2,25,1063,3
greedy,a351,3,125,1063,2
greedy,a351,4,625,1063,3
greedy,a351,5,3125,1063,4
greedy,a351,6,15625,1063,2
greedy,a351,7,78125,1063,2
greedy,a351,8,390625,1063,3
greedy,a351,9,1953125,1063,2
greedy,a351,10,9765625,1063,3
bfs,a86206,1,0,1182,4
bfs,a86206,2,1,1182,3
bfs,a86206,3,27,1182,2
bfs,a86206,4,2401,1182,3
bfs,a86206,5,759375,1182,3
bfs,a86206,6,887503681,1182,3
bfs,a86206,7,3938980639167,1182,2
bfs,a86206,8,67675234241018881,1182,2
bfs,a86206,9,4558916353692287109375,1182,8
bfs,a86206,10,1213972926354344043087129601,1182,12
bfs,a202990,1,4,1124,4
bfs,a202990,2,100,1124,2
bfs,a202990,3,10648,1124,4
bfs,a202990,4,4477456,1124,3
bfs,a202990,5,7339040224,1124,2
bfs,a202990,6,47045881000000,1124,3
bfs,a202990,7,1186980379913527168,1124,2
bfs,a202990,8,118530511097526559703296,1124,3
bfs,a202990,9,47035767668340696232372862464,1124,2
bfs,a202990,10,74367598058372171073462490000000000,1124,3
greedy,a337418,1,2,1115,4
greedy,a337418,2,32,1115,3
greedy,a337418,3,290,1115,2
greedy,a337418,4,2240,1115,2
greedy,a337418,5,16322,1115,3
greedy,a337418,6,116192,1115,2
greedy,a337418,7,819170,1115,3
greedy,a337418,8,5751680,1115,2
greedy,a337418,9,40314242,1115,3
greedy,a337418,10,282357152,1115,4
bfs,a337851,1,4,1105,5
bfs,a337851,2,36,1105,2
bfs,a337851,3,1000,1105,3
bfs,a337851,4,104976,1105,2
bfs,a337851,5,45435424,1105,2
bfs,a337851,6,82653950016,1105,3
bfs,a337851,7,627485170000000,1105,2
bfs,a337851,8,19631688197463081216,1105,3
bfs,a337851,9,2504194578379511247798784,1105,3
bfs,a337851,10,1292628144912333835229805413376,1105,3
greedy,a337527,1,1,1159,5
greedy,a337527,2,11,1159,3
greedy,a337527,3,427,1159,3
greedy,a337527,4,60719,1159,3
greedy,a337527,5,32596531,1159,3
greedy,a337527,6,68021747591,1159,3
greedy,a337527,7,561032498484067,1159,3
greedy,a337527,8,18426501525211985279,1159,3
greedy,a337527,9,2417021848422676355879011,1159,3
greedy,a337527,10,1267517634087900247917422974151,1159,3
greedy,a128831,1,1,1437,4
greedy,a128831,2,27,1437,2
greedy,a128831,3,343,1437,3
greedy,a128831,4,3375,1437,3
greedy,a128831,5,29791,1437,2
greedy,a128831,6,250047,1437,2
greedy,a128831,7,2048383,1437,2
greedy,a128831,8,16581375,1437,2
greedy,a128831,9,133432831,1437,3
greedy,a128831,10,1070599167,1437,2
bfs,a351,1,5,1066,4
bfs,a351,2,25,1066,2
bfs,a351,3,125,1066,3
bfs,a351,4,625,1066,2
bfs,a351,5,3125,1066,3
bfs,a351,6,15625,1066,2
bfs,a351,7,78125,1066,2
bfs,a351,8,390625,1066,3
bfs,a351,9,1953125,1066,3
bfs,a351,10,9765625,1066,2
greedy,a1024,1,15,1041,4
greedy,a1024,2,225,1041,2
greedy,a1024,3,3375,1041,3
greedy,a1024,4,50625,1041,3
greedy,a1024,5,759375,1041,3
greedy,a1024,6,11390625,1041,3
greedy,a1024,7,170859375,1041,2
greedy,a1024,8,2562890625,1041,3
greedy,a1024,9,38443359375,1041,3
greedy,a1024,10,576650390625,1041,3
bfs,a244,1,3,1436,4
bfs,a244,2,9,1436,3
bfs,a244,3,27,1436,2
bfs,a244,4,81,1436,3
bfs,a244,5,243,1436,3
bfs,a244,6,729,1436,3
bfs,a244,7,2187,1436,3
bfs,a244,8,6561,1436,3
bfs,a244,9,19683,1436,3
bfs,a244,10,59049,1436,3
bfs,a48473,1,5,1163,5
bfs,a48473,2,17,1163,3
bfs,a48473,3,53,1163,3
bfs,a48473,4,161,1163,2
bfs,a48473,5,485,1163,3
bfs,a48473,6,1457,1163,2
bfs,a48473,7,4373,1163,2
bfs,a48473,8,13121,1163,7
bfs,a48473,9,39365,1163,3
bfs,a48473,10,118097,1163,3
greedy,a5019,1,1,1102,4
greedy,a5019,2,7,1102,2
greedy,a5019,3,169,1102,3
greedy,a5019,4,14911,1102,2
greedy,a5019,5,4925281,1102,2
greedy,a5019,6,6195974527,1102,2
greedy,a5019,7,30074093255809,1102,2
greedy,a5019,8,568640725896660991,1102,2
greedy,a5019,9,42170765737391337500161,1102,2
greedy,a5019,10,12325140160135610565932361727,1102,2
bfs,a337527,1,1,1346,5
bfs,a337527,2,11,1346,3
bfs,a337527,3,427,1346,2
bfs,a337527,4,60719,1346,3
bfs,a337527,5,32596531,1346,4
bfs,a337527,6,68021747591,1346,4
bfs,a337527,7,561032498484067,1346,3
bfs,a337527,8,18426501525211985279,1346,2
bfs,a337527,9,2417021848422676355879011,1346,3
bfs,a337527,10,1267517634087900247917422974151,1346,3
bfs,a155602,1,6,1456,7
bfs,a155602,2,24,1456,8
bfs,a155602,3,90,1456,15
bfs,a155602,4,336,1456,15
bfs,a155602,5,1266,1456,12
bfs,a155602,6,4824,1456,6
bfs,a155602,7,18570,1456,4
bfs,a155602,8,72096,1456,4
bfs,a155602,9,281826,1456,5
bfs,a155602,10,1107624,1456,4
bfs,a133460,1,6,1200,5
bfs,a133460,2,144,1200,3
bfs,a133460,3,13824,1200,3
bfs,a133460,4,5308416,1200,3
bfs,a133460,5,8153726976,1200,3
bfs,a133460,6,50096498540544,1200,3
bfs,a133460,7,1231171548132409344,1200,3
bfs,a133460,8,121029087867608368152576,1200,3
bfs,a133460,9,47590573814949492091483324416,1200,4
bfs,a133460,10,74853500292876717928978827574247424,1200,3
greedy,a11557,1,10,1509,15
greedy,a11557,2,100,1509,5
greedy,a11557,3,1000,1509,7
greedy,a11557,4,10000,1509,6
greedy,a11557,5,100000,1509,14
greedy,a11557,6,1000000,1509,8
greedy,a11557,7,10000000,1509,7
greedy,a11557,8,100000000,1509,7
greedy,a11557,9,1000000000,1509,14
greedy,a11557,10,10000000000,1509,11
greedy,a48473,1,5,973,9
greedy,a48473,2,17,973,5
greedy,a48473,3,53,973,2
greedy,a48473,4,161,973,2
greedy,a48473,5,485,973,2
greedy,a48473,6,1457,973,2
greedy,a48473,7,4373,973,2
greedy,a48473,8,13121,973,2
greedy,a48473,9,39365,973,2
greedy,a48473,10,118097,973,2
greedy,a135160,1,6,1157,5
greedy,a135160,2,30,1157,3
greedy,a135160,3,144,1157,3
greedy,a135160,4,690,1157,3
greedy,a135160,5,3336,1157,3
greedy,a135160,6,16290,1157,3
greedy,a135160,7,80184,1157,3
greedy,a135160,8,396930,1157,3
greedy,a135160,9,1972296,1157,3
greedy,a135160,10,9823650,1157,3
greedy,a20515,1,3,1006,4
greedy,a20515,2,13,1006,2
greedy,a20515,3,57,1006,2
greedy,a20515,4,241,1006,2
greedy,a20515,5,993,1006,3
greedy,a20515,6,4033,1006,3
greedy,a20515,7,16257,1006,3
greedy,a20515,8,65281,1006,2
greedy,a20515,9,261633,1006,2
greedy,a20515,10,1047553,1006,2
greedy,a60867,1,1,1015,4
greedy,a60867,2,9,1015,3
greedy,a60867,3,49,1015,3
greedy,a60867,4,225,1015,2
greedy,a60867,5,961,1015,2
greedy,a60867,6,3969,1015,2
greedy,a60867,7,16129,1015,2
greedy,a60867,8,65025,1015,2
greedy,a60867,9,261121,1015,2
greedy,a60867,10,1046529,1015,2
greedy,a1020,1,11,1059,4
greedy,a1020,2,121,1059,2
greedy,a1020,3,1331,1059,2
greedy,a1020,4,14641,1059,3
greedy,a1020,5,161051,1059,3
greedy,a1020,6,1771561,1059,3
greedy,a1020,7,19487171,1059,2
greedy,a1020,8,214358881,1059,2
greedy,a1020,9,2357947691,1059,3
greedy,a1020,10,25937424601,1059,3
greedy,a337852,1,5,1103,4
greedy,a337852,2,81,1103,2
greedy,a337852,3,4913,1103,2
greedy,a337852,4,1185921,1103,3
greedy,a337852,5,1160290625,1103,3
greedy,a337852,6,4608273662721,1103,2
greedy,a337852,7,74051159531521793,1103,2
greedy,a337852,8,4796659837465472798721,1103,2
greedy,a337852,9,1248862969947666168212890625,1103,3
greedy,a337852,10,1304426412609681656861792686592001,1103,5
bfs,a337418,1,2,1559,4
bfs,a337418,2,32,1559,3
bfs,a337418,3,290,1559,3
bfs,a337418,4,2240,1559,3
bfs,a337418,5,16322,1559,3
bfs,a337418,6,116192,1559,3
bfs,a337418,7,819170,1559,3
bfs,a337418,8,5751680,1559,3
bfs,a337418,9,40314242,1559,4
bfs,a337418,10,282357152,1559,3
bfs,a135756,1,2,1217,5
bfs,a135756,2,7,1217,3
bfs,a135756,3,80,1217,2
bfs,a135756,4,4381,1217,3
bfs,a135756,5,1069742,1217,2
bfs,a135756,6,1080096067,1217,3
bfs,a135756,7,4405584869660,1217,3
bfs,a135756,8,72092808533798521,1217,3
bfs,a135756,9,4723015159635987920282,1217,3
bfs,a135756,10,1237987266193328694390243007,1217,5
greedy,a5367,1,4,1246,4
greedy,a5367,2,18,1246,2
greedy,a5367,3,70,1246,2
greedy,a5367,4,270,1246,2
greedy,a5367,5,1054,1246,2
greedy,a5367,6,4158,1246,2
greedy,a5367,7,16510,1246,3
greedy,a5367,8,65790,1246,3
greedy,a5367,9,262654,1246,3
greedy,a5367,10,1049598,1246,3
bfs,a128831,1,1,6892,5
bfs,a128831,2,27,6892,4
bfs,a128831,3,343,6892,3
bfs,a128831,4,3375,6892,3
bfs,a128831,5,29791,6892,3
bfs,a128831,6,250047,6892,3
bfs,a128831,7,2048383,6892,3
bfs,a128831,8,16581375,6892,3
bfs,a128831,9,133432831,6892,3
bfs,a128831,10,1070599167,6892,3
bfs,a20540,1,4,1197,5
bfs,a20540,2,56,1197,3
bfs,a20540,3,496,1197,3
bfs,a20540,4,4064,1197,2
bfs,a20540,5,32704,1197,2
bfs,a20540,6,262016,1197,2
bfs,a20540,7,2096896,1197,2
bfs,a20540,8,16776704,1197,2
bfs,a20540,9,134216704,1197,3
bfs,a20540,10,1073739776,1197,3
bfs,a59153,1,4,1174,5
bfs,a59153,2,24,1174,3
bfs,a59153,3,112,1174,2
bfs,a59153,4,480,1174,2
bfs,a59153,5,1984,1174,2
bfs,a59153,6,8064,1174,2
bfs,a59153,7,32512,1174,3
bfs,a59153,8,130560,1174,3
bfs,a59153,9,523264,1174,3
bfs,a59153,10,2095104,1174,7
